Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

match_token ,spec        @0x0:0x95c	          58	          96	     0.60417	           2	           4	     0.50000
match_token ,len         @0x0:0x96b	          96	          96	     1.00000	           4	           4	     1.00000
match_token ,token       @0x0:0x979	          51	          96	     0.53125	           2	           4	     0.50000
match_token ,token_len   @0x0:0x988	          53	          96	     0.55208	           1	           4	     0.25000
execv_dashed,argv        @0x0:0x5ef	         358	         416	     0.86058	          41	          44	     0.93182
execv_dashed,cmd         @0x0:0x5ff	         416	         416	     1.00000	          44	          44	     1.00000
execv_dashed,status      @0x0:0x60f	          85	         416	     0.20433	           5	          44	     0.11364
list_cmds   ,spec        @0x0:0x884	         583	         610	     0.95574	          41	          44	     0.93182
list_cmds   ,list        @0x0:0x893	         610	         610	     1.00000	          44	          44	     1.00000
list_cmds   ,nongit      @0x0:0x8a1	         610	         610	     1.00000	          44	          44	     1.00000
list_cmds   ,i           @0x0:0x8af	          69	         610	     0.11311	           4	          44	     0.09091
list_cmds   ,sep         @0x0:0x8cb	           3	         445	     0.00674	           1	          27	     0.03704
list_cmds   ,len         @0x0:0x8da	         420	         445	     0.94382	          24	          27	     0.88889
list_cmds   ,sb          @0x0:0x8f6	          76	          76	     1.00000	           6	           6	     1.00000
handle_built,argc        @0x0:0x377	         308	         341	     0.90323	          27	          30	     0.90000
handle_built,argv        @0x0:0x387	         300	         341	     0.87977	          27	          30	     0.90000
handle_built,args        @0x0:0x397	         341	         341	     1.00000	          30	          30	     1.00000
handle_built,cmd         @0x0:0x3a6	         219	         341	     0.64223	          15	          30	     0.50000
handle_built,builtin     @0x0:0x3b6	          63	         341	     0.18475	           4	          30	     0.13333
handle_built,i           @0x0:0x3d3	          97	         123	     0.78862	           7	          11	     0.63636
move_array  ,dst         @0x0:0x751	          60	          72	     0.83333	           3	           4	     0.75000
move_array  ,src         @0x0:0x761	          56	          72	     0.77778	           3	           4	     0.75000
move_array  ,n           @0x0:0x771	          52	          72	     0.72222	           3	           4	     0.75000
move_array  ,size        @0x0:0x781	          48	          72	     0.66667	           3	           4	     0.75000
copy_array  ,dst         @0x0:0x7e3	          60	          72	     0.83333	           3	           4	     0.75000
copy_array  ,src         @0x0:0x7f3	          56	          72	     0.77778	           3	           4	     0.75000
copy_array  ,n           @0x0:0x803	          52	          72	     0.72222	           3	           4	     0.75000
copy_array  ,size        @0x0:0x813	          48	          72	     0.66667	           3	           4	     0.75000
_           ,msgid       @0x0:0x3fe	          41	          53	     0.77358	           4	           5	     0.80000
get_builtin ,s           @0x0:0x1c3	         105	         117	     0.89744	           7	           9	     0.77778
get_builtin ,i           @0x0:0x1d3	          93	         117	     0.79487	           7	           9	     0.77778
get_builtin ,p           @0x0:0x1f0	          22	          46	     0.47826	           3	           4	     0.75000
