Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

handle_options, argv, decl git.c:135, unit git.c	        3336	        3351	     0.99552	         170	         171	     0.99415
handle_options, argc, decl git.c:135, unit git.c	        3332	        3351	     0.99433	         170	         171	     0.99415
handle_options, envchanged, decl git.c:135, unit git.c	        3328	        3351	     0.99314	         170	         171	     0.99415
handle_options, orig_argv, decl git.c:137, unit git.c	        3321	        3351	     0.99105	         169	         171	     0.98830
handle_options, cmd, decl git.c:140, unit git.c	        3272	        3272	     1.00000	         167	         167	     1.00000
handle_options, cwd, decl git.c:244, unit git.c	          88	         103	     0.85437	           7	           8	     0.87500
handle_options, list, decl git.c:315, unit git.c	         163	         163	     1.00000	           6	           6	     1.00000
handle_options, i, decl git.c:316, unit git.c	         113	         163	     0.69325	           4	           6	     0.66667
handle_alias, argcp, decl git.c:337, unit git.c	        1112	        1185	     0.93840	          46	          49	     0.93878
handle_alias, argv, decl git.c:337, unit git.c	        1185	        1185	     1.00000	          49	          49	     1.00000
handle_alias, envchanged, decl git.c:339, unit git.c	        1185	        1185	     1.00000	          49	          49	     1.00000
handle_alias, count, decl git.c:340, unit git.c	        1185	        1185	     1.00000	          49	          49	     1.00000
handle_alias, new_argv, decl git.c:341, unit git.c	        1185	        1185	     1.00000	          49	          49	     1.00000
handle_alias, ret, decl git.c:339, unit git.c	        1141	        1185	     0.96287	          48	          49	     0.97959
handle_alias, saved_errno, decl git.c:339, unit git.c	        1096	        1185	     0.92489	          46	          49	     0.93878
handle_alias, alias_command, decl git.c:342, unit git.c	        1098	        1185	     0.92658	          46	          49	     0.93878
handle_alias, alias_string, decl git.c:343, unit git.c	        1105	        1185	     0.93249	          45	          49	     0.91837
handle_alias, option_count, decl git.c:340, unit git.c	         464	        1185	     0.39156	          18	          49	     0.36735
handle_alias, child, decl git.c:352, unit git.c	         351	         351	     1.00000	          18	          18	     1.00000
handle_alias, nongit_ok, decl git.c:353, unit git.c	         351	         351	     1.00000	          18	          18	     1.00000
run_builtin, p, decl git.c:420, unit git.c	        1084	        1102	     0.98367	          46	          47	     0.97872
run_builtin, argc, decl git.c:420, unit git.c	        1078	        1102	     0.97822	          46	          47	     0.97872
run_builtin, argv, decl git.c:420, unit git.c	        1071	        1102	     0.97187	          46	          47	     0.97872
run_builtin, st, decl git.c:423, unit git.c	        1102	        1102	     1.00000	          47	          47	     1.00000
run_builtin, run_setup, decl git.c:425, unit git.c	        1035	        1102	     0.93920	          45	          47	     0.95745
run_builtin, help, decl git.c:422, unit git.c	         985	        1102	     0.89383	          44	          47	     0.93617
run_builtin, prefix, decl git.c:424, unit git.c	         870	        1102	     0.78947	          39	          47	     0.82979
run_builtin, status, decl git.c:422, unit git.c	         299	        1102	     0.27132	          15	          47	     0.31915
run_builtin, nongit_ok, decl git.c:435, unit git.c	          21	          21	     1.00000	           2	           2	     1.00000
run_argv, argcp, decl git.c:771, unit git.c	         915	         953	     0.96013	          41	          42	     0.97619
