Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

handle_alias, argcp, decl git.c:337, unit git.c	         722	         901	     0.80133	          36	          46	     0.78261
handle_alias, argv, decl git.c:337, unit git.c	         901	         901	     1.00000	          46	          46	     1.00000
handle_alias, envchanged, decl git.c:339, unit git.c	         515	         901	     0.57159	          27	          46	     0.58696
handle_alias, ret, decl git.c:339, unit git.c	         835	         901	     0.92675	          45	          46	     0.97826
handle_alias, saved_errno, decl git.c:339, unit git.c	         734	         901	     0.81465	          37	          46	     0.80435
handle_alias, alias_command, decl git.c:342, unit git.c	         590	         901	     0.65483	          32	          46	     0.69565
handle_alias, alias_string, decl git.c:343, unit git.c	         288	         901	     0.31964	          14	          46	     0.30435
handle_alias, new_argv, decl git.c:341, unit git.c	         320	         901	     0.35516	          17	          46	     0.36957
handle_alias, count, decl git.c:340, unit git.c	         100	         901	     0.11099	           9	          46	     0.19565
handle_alias, option_count, decl git.c:340, unit git.c	          48	         901	     0.05327	           3	          46	     0.06522
handle_alias, child, decl git.c:352, unit git.c	         285	         285	     1.00000	          15	          15	     1.00000
handle_alias, nongit_ok, decl git.c:353, unit git.c	         213	         285	     0.74737	          14	          15	     0.93333
trace_pass_fl, key, decl trace.h:273, unit git.c	          17	          33	     0.51515	           1	           2	     0.50000
load_builtin_commands, prefix, decl git.c:662, unit git.c	         156	         168	     0.92857	           7	           7	     1.00000
load_builtin_commands, cmds, decl git.c:662, unit git.c	         168	         168	     1.00000	           6	           7	     0.85714
load_builtin_commands, i, decl git.c:665, unit git.c	          51	         168	     0.30357	           3	           7	     0.42857
load_builtin_commands, name, decl git.c:664, unit git.c	          43	         168	     0.25595	           2	           7	     0.28571
run_builtin, p, decl git.c:420, unit git.c	         690	         690	     1.00000	          39	          40	     0.97500
run_builtin, argc, decl git.c:420, unit git.c	         690	         690	     1.00000	          39	          40	     0.97500
run_builtin, argv, decl git.c:420, unit git.c	          72	         690	     0.10435	           2	          40	     0.05000
run_builtin, st, decl git.c:423, unit git.c	         690	         690	     1.00000	          40	          40	     1.00000
run_builtin, run_setup, decl git.c:425, unit git.c	         459	         690	     0.66522	          27	          40	     0.67500
run_builtin, help, decl git.c:422, unit git.c	         301	         690	     0.43623	          21	          40	     0.52500
run_builtin, prefix, decl git.c:424, unit git.c	         552	         690	     0.80000	          32	          40	     0.80000
run_builtin, status, decl git.c:422, unit git.c	          52	         690	     0.07536	           3	          40	     0.07500
run_builtin, nongit_ok, decl git.c:435, unit git.c	           5	           5	     1.00000	           1	           1	     1.00000
cmd_main, argc, decl git.c:864, unit git.c	         390	         635	     0.61417	          25	          36	     0.69444
cmd_main, argv, decl git.c:864, unit git.c	         449	         635	     0.70709	          29	          36	     0.80556
cmd_main, done_help, decl git.c:867, unit git.c	         579	         635	     0.91181	          35	          36	     0.97222
cmd_main, cmd, decl git.c:866, unit git.c	         563	         635	     0.88661	          32	          36	     0.88889
cmd_main, slash, decl git.c:873, unit git.c	           9	          16	     0.56250	           2	           3	     0.66667
cmd_main, was_alias, decl git.c:926, unit git.c	          71	         131	     0.54198	           5	           8	     0.62500
get_builtin, s, decl git.c:635, unit git.c	          92	          92	     1.00000	           3	           4	     0.75000
get_builtin, i, decl git.c:637, unit git.c	          35	          92	     0.38043	           2	           4	     0.50000
get_builtin, p, decl git.c:639, unit git.c	           0	          18	     0.00000	           0	           1	     0.00000
run_argv, argcp, decl git.c:771, unit git.c	         615	         759	     0.81028	          28	          35	     0.80000
run_argv, argv, decl git.c:771, unit git.c	         723	         759	     0.95257	          32	          35	     0.91429
run_argv, cmd_list, decl git.c:774, unit git.c	         759	         759	     1.00000	          35	          35	     1.00000
run_argv, done_alias, decl git.c:773, unit git.c	         395	         759	     0.52042	          20	          35	     0.57143
run_argv, seen, decl git.c:775, unit git.c	         204	         759	     0.26877	          10	          35	     0.28571
run_argv, cmd, decl git.c:790, unit git.c	         349	         349	     1.00000	          15	          15	     1.00000
run_argv, i, decl git.c:791, unit git.c	         115	         349	     0.32951	           5	          15	     0.33333
run_argv, sb, decl git.c:833, unit git.c	         177	         177	     1.00000	           8	           8	     1.00000
run_argv, i, decl git.c:832, unit git.c	         113	         177	     0.63842	           5	           8	     0.62500
run_argv, item, decl git.c:835, unit git.c	           3	          84	     0.03571	           0	           4	     0.00000
list_builtins, out, decl git.c:651, unit git.c	          80	          80	     1.00000	           5	           6	     0.83333
list_builtins, exclude_option, decl git.c:651, unit git.c	          80	          80	     1.00000	           5	           6	     0.83333
list_builtins, i, decl git.c:653, unit git.c	          37	          80	     0.46250	           4	           6	     0.66667
handle_options, argv, decl git.c:135, unit git.c	        2270	        2270	     1.00000	         108	         109	     0.99083
handle_options, argc, decl git.c:135, unit git.c	        2201	        2270	     0.96960	         105	         109	     0.96330
handle_options, envchanged, decl git.c:135, unit git.c	        2270	        2270	     1.00000	         108	         109	     0.99083
handle_options, orig_argv, decl git.c:137, unit git.c	        2243	        2270	     0.98811	         107	         109	     0.98165
handle_options, cmd, decl git.c:140, unit git.c	        1832	        2182	     0.83960	          96	         105	     0.91429
handle_options, list, decl git.c:315, unit git.c	         116	         116	     1.00000	           6	           6	     1.00000
handle_options, i, decl git.c:316, unit git.c	          51	         116	     0.43966	           2	           6	     0.33333
handle_options, cwd, decl git.c:244, unit git.c	          45	          53	     0.84906	           4	           5	     0.80000
list_cmds, spec, decl git.c:64, unit git.c	         474	         542	     0.87454	          26	          30	     0.86667
