Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

trace_pass_f,key         @0x0:0x2634	          17	          33	     0.51515	           1	           2	     0.50000
load_builtin,prefix      @0x0:0x31b	         156	         168	     0.92857	           7	          17	     0.41176
load_builtin,cmds        @0x0:0x32b	         168	         168	     1.00000	           8	          17	     0.47059
load_builtin,i           @0x0:0x33b	          51	         168	     0.30357	           3	          17	     0.17647
load_builtin,name        @0x0:0x34b	          43	         168	     0.25595	           2	          17	     0.11765
handle_alias,argcp       @0x0:0x2291	         901	         901	     1.00000	          75	          80	     0.93750
handle_alias,argv        @0x0:0x22a1	         901	         901	     1.00000	          75	          80	     0.93750
handle_alias,envchanged  @0x0:0x22b1	         515	         901	     0.57159	          45	          80	     0.56250
handle_alias,ret         @0x0:0x22c1	         845	         901	     0.93785	          75	          80	     0.93750
handle_alias,saved_errno @0x0:0x22d1	         734	         901	     0.81465	          70	          80	     0.87500
handle_alias,alias_comman@0x0:0x22e1	         826	         901	     0.91676	          61	          80	     0.76250
handle_alias,alias_string@0x0:0x22f1	         288	         901	     0.31964	          36	          80	     0.45000
handle_alias,new_argv    @0x0:0x2301	         320	         901	     0.35516	          24	          80	     0.30000
handle_alias,count       @0x0:0x2311	         100	         901	     0.11099	          11	          80	     0.13750
handle_alias,option_count@0x0:0x2321	          48	         901	     0.05327	           5	          80	     0.06250
handle_alias,child       @0x0:0x2336	         285	         285	     1.00000	          24	          24	     1.00000
handle_alias,nongit_ok   @0x0:0x2346	         213	         285	     0.74737	          20	          24	     0.83333
get_builtin ,s           @0x0:0x2ca	          92	          92	     1.00000	           8	           9	     0.88889
get_builtin ,i           @0x0:0x2da	          35	          92	     0.38043	           2	           9	     0.22222
get_builtin ,p           @0x0:0x2f7	           0	          18	     0.00000	           0	           1	     0.00000
list_cmds   ,spec        @0x0:0x1ec4	         474	         542	     0.87454	          34	          44	     0.77273
list_cmds   ,list        @0x0:0x1ed3	         542	         542	     1.00000	          44	          44	     1.00000
