Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

trace_pass_f,key         @0x0:0x26a8	          17	          33	     0.51515	           1	           2	     0.50000
handle_alias,argcp       @0x0:0x22e0	         922	         922	     1.00000	          45	          46	     0.97826
handle_alias,argv        @0x0:0x22f0	         769	         922	     0.83406	          40	          46	     0.86957
handle_alias,envchanged  @0x0:0x2300	         504	         922	     0.54664	          27	          46	     0.58696
handle_alias,ret         @0x0:0x2310	         865	         922	     0.93818	          45	          46	     0.97826
handle_alias,saved_errno @0x0:0x2320	         877	         922	     0.95119	          44	          46	     0.95652
handle_alias,alias_comman@0x0:0x2330	         875	         922	     0.94902	          43	          46	     0.93478
handle_alias,alias_string@0x0:0x2340	         275	         922	     0.29826	          16	          46	     0.34783
handle_alias,new_argv    @0x0:0x2350	         341	         922	     0.36985	          17	          46	     0.36957
handle_alias,count       @0x0:0x2360	         292	         922	     0.31670	          16	          46	     0.34783
handle_alias,option_count@0x0:0x2370	          48	         922	     0.05206	           5	          46	     0.10870
handle_alias,child       @0x0:0x2385	         280	         280	     1.00000	          15	          15	     1.00000
handle_alias,nongit_ok   @0x0:0x2395	         216	         280	     0.77143	          14	          15	     0.93333
load_builtin,prefix      @0x0:0x31b	         156	         168	     0.92857	           7	           7	     1.00000
load_builtin,cmds        @0x0:0x32b	         168	         168	     1.00000	           6	           7	     0.85714
load_builtin,i           @0x0:0x33b	          51	         168	     0.30357	           3	           7	     0.42857
load_builtin,name        @0x0:0x34b	          43	         168	     0.25595	           2	           7	     0.28571
run_builtin ,p           @0x0:0xf04	         661	         661	     1.00000	          38	          39	     0.97436
run_builtin ,argc        @0x0:0xf14	         661	         661	     1.00000	          38	          39	     0.97436
run_builtin ,argv        @0x0:0xf24	         661	         661	     1.00000	          38	          39	     0.97436
run_builtin ,st          @0x0:0xf34	         661	         661	     1.00000	          39	          39	     1.00000
run_builtin ,run_setup   @0x0:0xf44	         430	         661	     0.65053	          26	          39	     0.66667
run_builtin ,help        @0x0:0xf54	          10	         661	     0.01513	           2	          39	     0.05128
run_builtin ,prefix      @0x0:0xf64	          43	         661	     0.06505	           1	          39	     0.02564
run_builtin ,status      @0x0:0xf74	         195	         661	     0.29501	          11	          39	     0.28205
run_builtin ,nongit_ok   @0x0:0xf91	           5	           5	     1.00000	           1	           1	     1.00000
cmd_main    ,argc        @0x0:0x4d7	         390	         611	     0.63830	          25	          35	     0.71429
cmd_main    ,argv        @0x0:0x4e7	         566	         611	     0.92635	          34	          35	     0.97143
cmd_main    ,done_help   @0x0:0x4f7	         434	         611	     0.71031	          27	          35	     0.77143
cmd_main    ,cmd         @0x0:0x507	         568	         611	     0.92962	          34	          35	     0.97143
cmd_main    ,slash       @0x0:0x524	           9	          26	     0.34615	           2	           3	     0.66667
cmd_main    ,was_alias   @0x0:0x53a	          79	         133	     0.59398	           4	           7	     0.57143
run_argv    ,argcp       @0x0:0xabc	         759	         759	     1.00000	          34	          35	     0.97143
run_argv    ,argv        @0x0:0xacc	         759	         759	     1.00000	          34	          35	     0.97143
run_argv    ,cmd_list    @0x0:0xadc	         759	         759	     1.00000	          35	          35	     1.00000
run_argv    ,done_alias  @0x0:0xaec	         388	         759	     0.51120	          20	          35	     0.57143
run_argv    ,seen        @0x0:0xafc	         204	         759	     0.26877	          10	          35	     0.28571
run_argv    ,cmd         @0x0:0xb11	         350	         350	     1.00000	          15	          15	     1.00000
run_argv    ,i           @0x0:0xb21	         124	         350	     0.35429	           5	          15	     0.33333
run_argv    ,sb          @0x0:0xb37	         177	         177	     1.00000	           8	           8	     1.00000
run_argv    ,i           @0x0:0xb47	         113	         177	     0.63842	           5	           8	     0.62500
run_argv    ,item        @0x0:0xb5c	           3	          84	     0.03571	           0	           4	     0.00000
get_builtin ,s           @0x0:0x2ca	          81	          81	     1.00000	           3	           4	     0.75000
get_builtin ,i           @0x0:0x2da	          44	          81	     0.54321	           2	           4	     0.50000
get_builtin ,p           @0x0:0x2f7	           0	          22	     0.00000	           0	           1	     0.00000
list_builtin,out         @0x0:0x1ea3	          80	          80	     1.00000	           5	           6	     0.83333
list_builtin,exclude_opti@0x0:0x1eb3	          80	          80	     1.00000	           5	           6	     0.83333
list_builtin,i           @0x0:0x1ec3	          37	          80	     0.46250	           4	           6	     0.66667
handle_optio,argv        @0x0:0x6ed	        2267	        2267	     1.00000	         108	         109	     0.99083
handle_optio,argc        @0x0:0x6fc	        2267	        2267	     1.00000	         108	         109	     0.99083
handle_optio,envchanged  @0x0:0x70b	        2267	        2267	     1.00000	         108	         109	     0.99083
handle_optio,orig_argv   @0x0:0x71a	        2235	        2267	     0.98588	         107	         109	     0.98165
handle_optio,cmd         @0x0:0x72e	        1836	        2183	     0.84104	          96	         105	     0.91429
handle_optio,list        @0x0:0x74a	         116	         116	     1.00000	           6	           6	     1.00000
handle_optio,i           @0x0:0x75a	          51	         116	     0.43966	           2	           6	     0.33333
handle_optio,cwd         @0x0:0x778	          45	          53	     0.84906	           4	           5	     0.80000
list_cmds   ,spec        @0x0:0x1f13	         474	         542	     0.87454	          26	          30	     0.86667
list_cmds   ,list        @0x0:0x1f22	         542	         542	     1.00000	          30	          30	     1.00000
list_cmds   ,nongit      @0x0:0x1f31	         499	         542	     0.92066	          28	          30	     0.93333
list_cmds   ,i           @0x0:0x1f40	          49	         542	     0.09041	           2	          30	     0.06667
list_cmds   ,len         @0x0:0x1f54	         357	         371	     0.96226	          20	          22	     0.90909
list_cmds   ,sep         @0x0:0x1f63	          17	         371	     0.04582	          23	          22	     1.04545
list_cmds   ,sb          @0x0:0x1f7f	          66	          66	     1.00000	           4	           4	     1.00000
strbuf_addst,sb          @0x0:0x2855	          39	          39	     1.00000	           2	           2	     1.00000
strbuf_addst,s           @0x0:0x2865	          39	          39	     1.00000	           2	           2	     1.00000
is_builtin  ,s           @0x0:0x28a	          21	          21	     1.00000	           2	           2	     1.00000
git_find_las,path        @0x0:0x6b8	          15	          15	     1.00000	           2	           2	     1.00000
execv_dashed,argv        @0x0:0x2186	         356	         356	     1.00000	          18	          19	     0.94737
execv_dashed,cmd         @0x0:0x2196	         356	         356	     1.00000	          19	          19	     1.00000
execv_dashed,status      @0x0:0x21a6	          25	         356	     0.07022	           3	          19	     0.15789
handle_built,argc        @0x0:0xd5a	         223	         236	     0.94492	          14	          16	     0.87500
handle_built,argv        @0x0:0xd6a	         230	         236	     0.97458	          15	          16	     0.93750
handle_built,args        @0x0:0xd7a	         236	         236	     1.00000	          16	          16	     1.00000
handle_built,cmd         @0x0:0xd8a	         187	         236	     0.79237	          13	          16	     0.81250
handle_built,builtin     @0x0:0xd9a	          27	         236	     0.11441	           3	          16	     0.18750
handle_built,i           @0x0:0xdb7	          73	          88	     0.82955	           5	           7	     0.71429
exclude_help,list        @0x0:0x2e4c	         110	         110	     1.00000	           5	           6	     0.83333
exclude_help,i           @0x0:0x2e5b	          90	         110	     0.81818	           4	           6	     0.66667
skip_prefix ,str         @0x0:0x3e2	          52	          52	     1.00000	           4	           5	     0.80000
skip_prefix ,prefix      @0x0:0x3f2	          52	          52	     1.00000	           4	           5	     0.80000
skip_prefix ,out         @0x0:0x400	          52	          52	     1.00000	           4	           5	     0.80000
gitstrchrnul,s           @0x0:0x2da9	          36	          36	     1.00000	           3	           4	     0.75000
gitstrchrnul,c           @0x0:0x2db9	          36	          36	     1.00000	           3	           4	     0.75000
match_token ,spec        @0x0:0x2de0	          69	          69	     1.00000	           2	           3	     0.66667
match_token ,len         @0x0:0x2def	          69	          69	     1.00000	           3	           3	     1.00000
match_token ,token       @0x0:0x2dfe	          69	          69	     1.00000	           2	           3	     0.66667
match_token ,token_len   @0x0:0x2e0d	          20	          69	     0.28986	           1	           3	     0.33333
st_mult     ,a           @0x0:0x2fda	          43	          43	     1.00000	           3	           4	     0.75000
st_mult     ,b           @0x0:0x2fe7	          43	          43	     1.00000	           3	           4	     0.75000
setup_auto_p,cmd         @0x0:0x1a8	          64	          64	     1.00000	           5	           6	     0.83333
setup_auto_p,def         @0x0:0x1b7	          64	          64	     1.00000	           5	           6	     0.83333
_           ,msgid       @0x0:0xd29	          24	          24	     1.00000	           3	           4	     0.75000
move_array  ,dst         @0x0:0x2f75	          45	          45	     1.00000	           3	           4	     0.75000
move_array  ,src         @0x0:0x2f85	          45	          45	     1.00000	           3	           4	     0.75000
move_array  ,n           @0x0:0x2f95	          45	          45	     1.00000	           3	           4	     0.75000
move_array  ,size        @0x0:0x2fa5	          45	          45	     1.00000	           3	           4	     0.75000
copy_array  ,dst         @0x0:0x3038	          45	          45	     1.00000	           3	           4	     0.75000
copy_array  ,src         @0x0:0x3048	          45	          45	     1.00000	           3	           4	     0.75000
copy_array  ,n           @0x0:0x3058	          45	          45	     1.00000	           3	           4	     0.75000
copy_array  ,size        @0x0:0x3068	          45	          45	     1.00000	           3	           4	     0.75000

params	       16071	       16605	     0.96784	         869	         891	     0.97531
vars	       16127	       25417	     0.63450	         862	        1325	     0.65057
all	       32198	       42022	     0.76622	        1731	        2216	     0.78114
