Variant,Name,CL / SL
"Clang 14, O0","_           ,msgid       @0x0:0x3fe",1
"Clang 14, O0","cmd_main    ,argc        @0x0:0x2bc",1
"Clang 14, O0","cmd_main    ,argv        @0x0:0x2cb",1
"Clang 14, O0","cmd_main    ,cmd         @0x0:0x2da",1
"Clang 14, O0","cmd_main    ,done_help   @0x0:0x2e9",1
"Clang 14, O0","cmd_main    ,slash       @0x0:0x306",1
"Clang 14, O0","cmd_main    ,was_alias   @0x0:0x324",1
"Clang 14, O0","copy_array  ,dst         @0x0:0x7e3",1
"Clang 14, O0","copy_array  ,n           @0x0:0x803",1
"Clang 14, O0","copy_array  ,size        @0x0:0x813",1
"Clang 14, O0","copy_array  ,src         @0x0:0x7f3",1
"Clang 14, O0","exclude_help,i           @0x0:0x9bc",1
"Clang 14, O0","exclude_help,list        @0x0:0x9ad",1
"Clang 14, O0","execv_dashed,argv        @0x0:0x5ef",1
"Clang 14, O0","execv_dashed,cmd         @0x0:0x5ff",1
"Clang 14, O0","execv_dashed,status      @0x0:0x60f",1
"Clang 14, O0","get_builtin ,i           @0x0:0x1d3",1
"Clang 14, O0","get_builtin ,p           @0x0:0x1f0",1
"Clang 14, O0","get_builtin ,s           @0x0:0x1c3",1
"Clang 14, O0","git_find_las,path        @0x0:0x350",1
"Clang 14, O0","gitstrchrnul,c           @0x0:0x932",1
"Clang 14, O0","gitstrchrnul,s           @0x0:0x922",1
"Clang 14, O0","handle_alias,alias_comman@0x0:0x6dc",1
"Clang 14, O0","handle_alias,alias_string@0x0:0x6ec",1
"Clang 14, O0","handle_alias,argcp       @0x0:0x66f",1
"Clang 14, O0","handle_alias,argv        @0x0:0x67f",1
"Clang 14, O0","handle_alias,child       @0x0:0x719",1
"Clang 14, O0","handle_alias,count       @0x0:0x69e",1
"Clang 14, O0","handle_alias,envchanged  @0x0:0x68f",1
"Clang 14, O0","handle_alias,new_argv    @0x0:0x6ad",1
"Clang 14, O0","handle_alias,nongit_ok   @0x0:0x729",1
"Clang 14, O0","handle_alias,option_count@0x0:0x6fc",1
"Clang 14, O0","handle_alias,ret         @0x0:0x6bc",1
"Clang 14, O0","handle_alias,saved_errno @0x0:0x6cc",1
"Clang 14, O0","handle_built,argc        @0x0:0x377",1
"Clang 14, O0","handle_built,args        @0x0:0x397",1
"Clang 14, O0","handle_built,argv        @0x0:0x387",1
"Clang 14, O0","handle_built,builtin     @0x0:0x3b6",1
"Clang 14, O0","handle_built,cmd         @0x0:0x3a6",1
"Clang 14, O0","handle_built,i           @0x0:0x3d3",1
"Clang 14, O0","handle_optio,argc        @0x0:0x436",1
"Clang 14, O0","handle_optio,argv        @0x0:0x427",1
"Clang 14, O0","handle_optio,cmd         @0x0:0x470",1
"Clang 14, O0","handle_optio,cwd         @0x0:0x48b",1
"Clang 14, O0","handle_optio,envchanged  @0x0:0x445",1
"Clang 14, O0","handle_optio,i           @0x0:0x4b7",1
"Clang 14, O0","handle_optio,list        @0x0:0x4a8",1
"Clang 14, O0","handle_optio,orig_argv   @0x0:0x454",1
