Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

clang versio,clang versio@0x0:0x43	          11	          11	     1.00000	           3	           3	     1.00000
clang versio,clang versio@0x0:0x50	          11	          11	     1.00000	           3	           3	     1.00000
clang versio,clang versio@0x0:0x5d	           8	          11	     0.72727	           2	           3	     0.66667
clang versio,clang versio@0x0:0x68	           9	           9	     1.00000	           3	           3	     1.00000
clang versio,clang versio@0x0:0x76	           9	           9	     1.00000	           3	           3	     1.00000

params	          30	          33	     0.90909	           8	           9	     0.88889
vars	           0	           0	         NaN	           0	           0	         NaN
all	          30	          33	     0.90909	           8	           9	     0.88889
