Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

clang versio,clang versio@0x0:0x43	          73	          73	     1.00000	           9	           9	     1.00000
clang versio,clang versio@0x0:0x51	          37	          73	     0.50685	           4	           9	     0.44444
clang versio,clang versio@0x0:0x60	          37	          73	     0.50685	           4	           9	     0.44444
clang versio,clang versio@0x0:0x6f	           0	          73	     0.00000	           0	           9	     0.00000
clang versio,clang versio@0x0:0x7a	           0	          73	     0.00000	           0	           9	     0.00000

params	           0	           0	         NaN	           0	           0	         NaN
vars	         147	         365	     0.40274	          17	          45	     0.37778
all	         147	         365	     0.40274	          17	          45	     0.37778
